,38,INT_BLIND,0.0000,Rough,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000
,39,GLASS,0.4127,VerySmooth,0.1373,0.101,0.000,0.000,0.8400,0.0000,0.0000


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


Surface Geometry

,,Starting Corner,Vertex Input Direction,Coordinate System,Daylight Reference Point Coordinate System,Rectangular (Simple) Surface Coordinate System
,1,LowerLeftCorner,Counterclockwise,RelativeCoordinateSystem,RelativeCoordinateSystem,RelativeToZoneOrigin


Other Side Coefficients

,,Name,Combined convective/radiative film coefficient {Btu/h-ft2-F},User selected Constant Temperature {F},Coefficient modifying the constant temperature term,Coefficient modifying the external dry bulb temperature term,Coefficient modifying the ground temperature term,Coefficient modifying the wind speed term {s/m},Coefficient modifying the zone air temperature term,Constant Temperature Schedule Name,Sinusoidal Variation,Period of Sinusoidal Variation,Previous Other Side Temperature Coefficient,Minimum Other Side Temperature {F},Maximum Other Side Temperature {F}
,1,SURFPROPOTHSDCOEFSLABAVERAGE,N/A,N/A,1.000,0.000,0.000,0.000,0.000,SCHEDULEOSCSLABAVERAGESURFACETEMP,NO,24.000,0.000,N/A,N/A
,2,SURFPROPOTHSDCOEFSLABPERIMETER,N/A,N/A,1.000,0.000,0.000,0.000,0.000,SCHEDULEOSCSLABPERIMETERTEMP,NO,24.000,0.000,N/A,N/A
,3,SURFPROPOTHSDCOEFSLABCORE,N/A,N/A,1.000,0.000,0.000,0.000,0.000,SCHEDULEOSCSLABCORETEMP,NO,24.000,0.000,N/A,N/A


Surface Heat Transfer Algorithm

,,Value {CTF - ConductionTransferFunction,Inside Surface Max Temperature Limit{F},Surface Convection Coefficient Lower Limit {Btu/h-ft2-F},Surface Convection Coefficient Upper Limit {Btu/h-ft2-F}
,,EMPD - MoisturePenetrationDepthConductionTransferFunction,,,
,,CondFD - ConductionFiniteDifference,,,
,,HAMT - CombinedHeatAndMoistureFiniteElement} - Description,,,
,1,CTF - ConductionTransferFunction,392.,0.02,176.1


Shading Summary

,,Number of Fixed Detached Shades,Number of Building Detached Shades,Number of Attached Shades
,1,0,0,60


Zone Summary

,,Number of Zones,Number of Zone Surfaces,Number of SubSurfaces
,1,20,171,48


Zone Information

,,Zone Name,North Axis {deg},Origin X-Coordinate {ft},Origin Y-Coordinate {ft},Origin Z-Coordinate {ft},Centroid X-Coordinate {ft},Centroid Y-Coordinate {ft},Centroid Z-Coordinate {ft},Type,Zone Multiplier,Zone List Multiplier,Minimum X {ft},Maximum X {ft},Minimum Y {ft},Maximum Y {ft},Minimum Z {ft},Maximum Z {ft},Ceiling Height {ft},Volume {ft3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {ft2},Exterior Gross Wall Area {ft2},Exterior Net Wall Area {ft2},Exterior Window Area {ft2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,BREEZEWAY,0.0,0.00,0.00,0.00,59.94,32.55,13.26,1,1,1,0.00,119.89,30.05,35.04,0.49,25.99,17.00,30553.07,TARP,DOE-2,1798.18,0.00,0.00,0.00,4,0,0,Yes
,2,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,19.98,15.03,4.76,1,1,1,0.00,39.96,0.00,30.05,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,3,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,59.94,15.03,4.76,1,1,1,39.96,79.93,0.00,30.05,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,4,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,99.91,15.03,4.76,1,1,1,79.93,119.89,0.00,30.05,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,5,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,19.98,50.07,4.76,1,1,1,0.00,39.96,35.04,65.10,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,6,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,59.94,50.07,4.76,1,1,1,39.96,79.93,35.04,65.10,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,7,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.0,0.00,0.00,0.00,99.91,50.07,4.76,1,1,1,79.93,119.89,35.04,65.10,0.49,8.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,8,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,19.98,15.03,13.26,1,1,1,0.00,39.96,0.00,30.05,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,9,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,59.94,15.03,13.26,1,1,1,39.96,79.93,0.00,30.05,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,10,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,99.91,15.03,13.26,1,1,1,79.93,119.89,0.00,30.05,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,11,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,19.98,50.07,13.26,1,1,1,0.00,39.96,35.04,65.10,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,12,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,59.94,50.07,13.26,1,1,1,39.96,79.93,35.04,65.10,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,13,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.0,0.00,0.00,0.00,99.91,50.07,13.26,1,1,1,79.93,119.89,35.04,65.10,8.99,17.49,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,14,ATTIC,0.0,-134.9,51.61,0.00,59.94,32.55,29.56,1,1,1,0.00,119.89,0.00,65.10,25.99,39.54,6.76,52795.39,TARP,DOE-2,7802.66,881.33,881.33,0.00,11,0,0,Yes
,15,LIVING_UNIT3_BACKROW_TOPFLOOR,0.0,0.00,0.00,0.00,99.91,50.07,21.75,1,1,1,79.93,119.89,35.04,65.10,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,16,LIVING_UNIT3_FRONTROW_TOPFLOOR,0.0,0.00,0.00,0.00,99.91,15.03,21.75,1,1,1,79.93,119.89,0.00,30.05,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,17,LIVING_UNIT1_FRONTROW_TOPFLOOR,0.0,0.00,0.00,0.00,19.98,15.03,21.75,1,1,1,0.00,39.96,0.00,30.05,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes
,18,LIVING_UNIT2_BACKROW_TOPFLOOR,0.0,0.00,0.00,0.00,59.94,50.07,21.75,1,1,1,39.96,79.93,35.04,65.10,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,19,LIVING_UNIT2_FRONTROW_TOPFLOOR,0.0,0.00,0.00,0.00,59.94,15.03,21.75,1,1,1,39.96,79.93,0.00,30.05,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,679.48,599.39,59.10,6,2,2,Yes
,20,LIVING_UNIT1_BACKROW_TOPFLOOR,0.0,0.00,0.00,0.00,19.98,50.07,21.75,1,1,1,0.00,39.96,35.04,65.10,17.49,25.99,8.50,10207.79,TARP,DOE-2,1200.51,934.94,766.25,147.70,6,3,4,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {ft2},# Occupants,Area per Occupant {ft2/person},Occupant per Area {person/ft2},Interior Lighting {Btu/h-ft2},Electric Load {Btu/h-ft2},Gas Load {Btu/h-ft2},Other Load {Btu/h-ft2},Hot Water Eq {Btu/h-ft2},Steam Equipment {Btu/h-ft2},Sum Loads per Area {Btu/h-ft2},Outdoor Controlled Baseboard Heat
,1,BREEZEWAY,1798.18,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,2,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,3,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,4,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,5,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,6,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,7,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,8,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,9,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,10,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,11,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,12,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,13,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,14,ATTIC,7802.66,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,15,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,16,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,17,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,18,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,19,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No
,20,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,600.276,0.002,0.583,2.909,0.000,0.000,0.000,0.000,3.492,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Number of People {},People/Floor Area {person/ft2},Floor Area per person {ft2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Nominal Minimum Number of People,Nominal Maximum Number of People
,1,PEOPLE_UNIT1_FRONTROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,2,PEOPLE_UNIT2_FRONTROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,3,PEOPLE_UNIT3_FRONTROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,4,PEOPLE_UNIT1_BACKROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,5,PEOPLE_UNIT2_BACKROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,6,PEOPLE_UNIT3_BACKROW_BOTTOMFLOOR,OCCUPANCY,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,7,PEOPLE_UNIT1_FRONTROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,8,PEOPLE_UNIT2_FRONTROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,9,PEOPLE_UNIT3_FRONTROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,10,PEOPLE_UNIT1_BACKROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,11,PEOPLE_UNIT2_BACKROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,12,PEOPLE_UNIT3_BACKROW_MIDDLEFLOOR,OCCUPANCY,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,13,PEOPLE_UNIT1_FRONTROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,14,PEOPLE_UNIT2_FRONTROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,15,PEOPLE_UNIT3_FRONTROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,16,PEOPLE_UNIT1_BACKROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,17,PEOPLE_UNIT2_BACKROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2
,18,PEOPLE_UNIT3_BACKROW_TOPFLOOR,OCCUPANCY,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,2.0,0.002,600.276,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,0,2


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Lighting Level {Btu/h},Lights/Floor Area {Btu/h-ft2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use Category,Nominal Minimum Lighting Level {Btu/h},Nominal Maximum Lighting Level {Btu/h}
,1,LIVING HARDWIRED LIGHTING1_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,2,LIVING PLUG-IN LIGHTING1_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,3,LIVING HARDWIRED LIGHTING2_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,4,LIVING PLUG-IN LIGHTING2_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,5,LIVING HARDWIRED LIGHTING3_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,6,LIVING PLUG-IN LIGHTING3_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,7,LIVING HARDWIRED LIGHTING1_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,8,LIVING PLUG-IN LIGHTING1_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,9,LIVING HARDWIRED LIGHTING2_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,10,LIVING PLUG-IN LIGHTING2_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,11,LIVING HARDWIRED LIGHTING3_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,12,LIVING PLUG-IN LIGHTING3_BACKROW_BOTTOMFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,13,LIVING HARDWIRED LIGHTING1_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,14,LIVING PLUG-IN LIGHTING1_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,15,LIVING HARDWIRED LIGHTING2_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,16,LIVING PLUG-IN LIGHTING2_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,17,LIVING HARDWIRED LIGHTING3_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,18,LIVING PLUG-IN LIGHTING3_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,19,LIVING HARDWIRED LIGHTING1_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,20,LIVING PLUG-IN LIGHTING1_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,21,LIVING HARDWIRED LIGHTING2_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,22,LIVING PLUG-IN LIGHTING2_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,23,LIVING HARDWIRED LIGHTING3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,24,LIVING PLUG-IN LIGHTING3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,25,LIVING HARDWIRED LIGHTING1_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,26,LIVING PLUG-IN LIGHTING1_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,27,LIVING HARDWIRED LIGHTING2_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,28,LIVING PLUG-IN LIGHTING2_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,29,LIVING HARDWIRED LIGHTING3_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,30,LIVING PLUG-IN LIGHTING3_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,31,LIVING HARDWIRED LIGHTING1_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,32,LIVING PLUG-IN LIGHTING1_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,33,LIVING HARDWIRED LIGHTING2_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,34,LIVING PLUG-IN LIGHTING2_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,35,LIVING HARDWIRED LIGHTING3_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,36,LIVING PLUG-IN LIGHTING3_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Equipment Level {Btu/h},Equipment/Floor Area {Btu/h-ft2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {Btu/h},Nominal Maximum Equipment Level {Btu/h}
,1,DISHWASHER1_FRONTROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
