Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWL CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWL ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 07/21  12:00:00,26.71125,21.454533715222553,21.68538970914325,21.721728118413292,24.000056501828983,0.0,0.0,0.0,21.5,0.0 
 07/21  13:00:00,27.28,21.533842233998058,21.785984482220083,21.872021854022044,23.99994515922564,0.0,0.0,0.0,21.5,0.0 
 07/21  14:00:00,27.678124999999998,21.61947123433599,21.86899734785746,21.995478111488307,23.99994930990005,0.0,0.0,0.0,21.5,0.0 
 07/21  15:00:00,27.8,21.706807819937573,21.922243791156195,22.074801804010246,23.999952696632327,0.0,0.0,0.0,21.5,0.0 
 07/21  16:00:00,27.55625,21.78839025348739,21.933037302433043,22.091526935704117,23.999959545508553,0.0,0.0,0.0,21.5,0.0 
 07/21  17:00:00,27.085,21.855220223924462,21.911098951550763,22.059453488510464,23.99997145697902,0.0,0.0,0.0,21.5,0.0 
 07/21  18:00:00,26.48375,21.902464313121317,21.865603268355024,21.995703883671425,24.000170945097054,0.0,0.0,0.0,21.5,0.0 
 07/21  19:00:00,25.630625,21.929246127295823,21.780384290418397,21.879813022925514,24.000054362428422,0.0,0.0,0.0,21.5,0.0 
 07/21  20:00:00,24.818125,21.930971737901785,21.682485435795897,21.74202106344037,23.999938206739706,0.0,0.0,0.0,21.5,0.0 
 07/21  21:00:00,24.184375000000003,21.911571626660002,21.594974109952346,21.6162427294667,23.99994843018712,0.0,0.0,0.0,21.5,0.0 
 07/21  22:00:00,23.599375000000002,21.877855833334102,21.504058469954245,21.48364618502124,24.000001584027746,0.0,0.0,0.0,21.5,0.0 
 07/21  23:00:00,23.095625000000002,21.83188546692249,21.413174609806827,21.339732249710654,24.00003368593745,0.0,0.0,0.0,21.5,0.0 
 07/21  24:00:00,22.640625,21.775824577297524,21.31979822672064,21.19690807428696,24.00005487448756,0.0,0.0,0.0,21.5,0.0 
 01/21  01:00:00,7.6,16.042583025143532,17.968840733045553,17.5115443312266,21.49982480979608,0.0,0.0,0.0,21.5,8142124.722253364 
 01/21  02:00:00,7.6,16.017748103574917,17.77762720207027,17.22032576365283,21.49985507216114,0.0,0.0,0.0,21.5,8299585.549654018 
 01/21  03:00:00,7.6,15.984603875231862,17.633461604748504,17.009727283862038,21.49988898545605,0.0,0.0,0.0,21.5,8438886.666144516 
 01/21  04:00:00,7.6,15.944596910917271,17.498605701719903,16.818525696956108,21.499914890400966,0.0,0.0,0.0,21.5,8567635.45482488 
 01/21  05:00:00,7.6,15.899386234901185,17.372444325309903,16.645890189608796,21.49993475933671,0.0,0.0,0.0,21.5,8686906.946456106 
 01/21  06:00:00,7.6,15.849994206333108,17.25316693347842,16.48711503904631,21.499947626943495,0.0,0.0,0.0,21.5,8778157.576733507 
 01/21  07:00:00,7.6,15.797295151090939,17.13956343332312,16.339687249591876,21.49995970567307,0.0,0.0,0.0,21.5,8880410.365148503 
 01/21  08:00:00,7.6,15.741483026000576,17.03061681936019,16.201572975254876,21.49958860499182,0.0,0.0,0.0,21.5,8973049.19293875 
 01/21  09:00:00,7.6,15.683277975920245,16.925713257865315,16.07162312211555,21.49976221323197,0.0,0.0,0.0,21.5,8190489.1620573085 
 01/21  10:00:00,7.6,15.623234238955046,16.824340821363425,15.950518159995553,21.499850111559493,0.0,0.0,0.0,21.5,8270920.174656735 
 01/21  11:00:00,7.6,15.561701587130356,16.726150278381805,15.835832919462371,21.499770455710017,0.0,0.0,0.0,21.5,8044519.449269157 
 01/21  12:00:00,7.6,15.498987246320581,16.63078711882644,15.726673645079485,21.499704275411506,0.0,0.0,0.0,21.5,7874055.105034667 
 01/21  13:00:00,7.6,15.435198599661724,16.537972875113947,15.622993450146685,21.49961391329922,0.0,0.0,0.0,21.5,7668382.618249403 
 01/21  14:00:00,7.6,15.370915190335571,16.44756487153182,15.525268229910413,21.499694802986777,0.0,0.0,0.0,21.5,7908119.935651617 
 01/21  15:00:00,7.6,15.306126030932415,16.359381943720592,15.429721946135908,21.499184913707722,0.0,0.0,0.0,21.5,9113693.168436572 
 01/21  16:00:00,7.6,15.241026436323796,16.27312355081899,15.333484930201177,21.499571618394477,0.0,0.0,0.0,21.5,9529687.914251704 
 01/21  17:00:00,7.6,15.175759788541075,16.188560434029878,15.239881499105955,21.499619649561293,0.0,0.0,0.0,21.5,9603565.556366298 
 01/21  18:00:00,7.6,15.110233115014651,16.10564136556841,15.150171540457322,21.499370108131757,0.0,0.0,0.0,21.5,7849503.8250686135 
 01/21  19:00:00,7.6,15.044927077596164,16.024456711487634,15.067938114859004,21.4997062318785,0.0,0.0,0.0,21.5,7878173.968060286 
 01/21  20:00:00,7.6,14.979881030514305,15.94509949268249,14.989605714652114,21.49976561827475,0.0,0.0,0.0,21.5,8001379.071289194 
 01/21  21:00:00,7.6,14.915098780756058,15.867444160226212,14.912885347714393,21.4998072215334,0.0,0.0,0.0,21.5,8124273.632114068 
 01/21  22:00:00,7.6,14.850666933947656,15.791341732773816,14.837786283753235,21.499866380600743,0.0,0.0,0.0,21.5,7224982.245434538 
 01/21  23:00:00,7.6,14.78665547063867,15.71668945082257,14.764071733647222,21.49992019388564,0.0,0.0,0.0,21.5,8535448.602302369 
 01/21  24:00:00,7.6,14.723121484192646,15.643397995914254,14.691101549588637,21.499308363714206,0.0,0.0,0.0,21.5,8806894.563247645 
 01/01  01:00:00,-4.5,12.885578248833248,15.964956784035362,15.278310765405422,18.681540762329504,0.0,0.0,0.0,21.5,13306818.790868126 
 01/01  02:00:00,-3.0,12.803637351856999,15.902445031154523,15.172640527769937,19.115101923260365,0.0,0.0,0.0,21.5,13201076.115345854 
 01/01  03:00:00,-3.625,12.772252172621812,15.648425495991495,14.793654993877084,19.007314838772906,0.0,0.0,0.0,21.5,13208546.773721876 
