Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
17:40:00,5.139039E+03,4.148918E+03,1.814023E-01,3.422324E-01
17:50:00,5.104915E+03,4.136399E+03,1.801982E-01,3.412003E-01
18:00:00,5.070304E+03,4.113075E+03,1.789769E-01,3.392770E-01
18:10:00,5.035339E+03,4.076307E+03,1.777431E-01,3.362445E-01
18:20:00,5.001796E+03,4.023582E+03,1.765595E-01,3.318956E-01
18:30:00,4.969078E+03,3.954367E+03,1.754050E-01,3.261863E-01
18:40:00,4.936985E+03,3.871648E+03,1.742725E-01,3.193630E-01
18:50:00,4.905384E+03,3.767226E+03,1.731574E-01,3.107495E-01
19:00:00,4.874175E+03,3.640852E+03,1.720560E-01,3.003251E-01
19:10:00,4.861089E+03,3.477534E+03,1.715944E-01,2.868535E-01
19:20:00,4.850006E+03,3.297122E+03,1.712033E-01,2.719720E-01
19:30:00,4.840209E+03,3.116526E+03,1.708576E-01,2.570752E-01
19:40:00,4.831450E+03,2.943797E+03,1.705485E-01,2.428273E-01
19:50:00,4.823567E+03,2.789349E+03,1.702703E-01,2.300874E-01
20:00:00,4.816407E+03,2.656777E+03,1.700174E-01,2.191519E-01
20:10:00,4.811323E+03,2.547332E+03,1.698379E-01,2.101240E-01
20:20:00,4.807082E+03,2.461513E+03,1.696881E-01,2.030449E-01
20:30:00,4.803477E+03,2.387191E+03,1.695607E-01,1.969142E-01
20:40:00,4.800397E+03,2.320096E+03,1.694519E-01,1.913800E-01
20:50:00,4.797716E+03,2.258532E+03,1.693572E-01,1.863020E-01
21:00:00,4.795372E+03,2.201165E+03,1.692743E-01,1.815702E-01
21:10:00,4.795298E+03,2.144203E+03,1.692716E-01,1.768717E-01
21:20:00,4.797289E+03,2.087860E+03,1.693418E-01,1.722244E-01
21:30:00,4.800657E+03,2.032229E+03,1.694606E-01,1.676357E-01
21:40:00,4.805090E+03,1.977241E+03,1.696170E-01,1.630998E-01
21:50:00,4.810400E+03,1.922707E+03,1.698044E-01,1.586013E-01
22:00:00,4.816450E+03,1.868565E+03,1.700179E-01,1.541352E-01
22:10:00,4.832439E+03,1.806259E+03,1.705823E-01,1.489957E-01
22:20:00,4.850901E+03,1.743030E+03,1.712339E-01,1.437800E-01
22:30:00,4.871021E+03,1.679515E+03,1.719441E-01,1.385407E-01
22:40:00,4.892539E+03,1.615943E+03,1.727036E-01,1.332967E-01
22:50:00,4.915204E+03,1.552490E+03,1.735035E-01,1.280625E-01
23:00:00,4.938817E+03,1.489331E+03,1.743369E-01,1.228525E-01
23:10:00,4.961004E+03,1.428917E+03,1.751200E-01,1.178689E-01
23:20:00,4.983191E+03,1.369425E+03,1.759031E-01,1.129615E-01
23:30:00,5.005480E+03,1.310469E+03,1.766898E-01,1.080982E-01
23:40:00,5.027882E+03,1.252000E+03,1.774804E-01,1.032751E-01
23:50:00,5.050411E+03,1.193941E+03,1.782756E-01,9.848587E-02
24:00:00,5.073062E+03,1.136257E+03,1.790751E-01,9.372755E-02
Peak,5.412647E+03,4.151164E+03,1.910583E-01,3.424170E-01

Peak Vol Flow (m3/s),,,1.979711E-01,3.548063E-01
