Date/Time,Heating:Electricity [J](Hourly) 
 01/07  24:00:00,5218369.41905383 
 01/08  01:00:00,4139912.9182209456 
 01/08  02:00:00,5108587.909006918 
 01/08  03:00:00,5153505.420257691 
 01/08  04:00:00,5540901.740501669 
 01/08  05:00:00,6220078.809975024 
 01/08  06:00:00,6579918.188195333 
 01/08  07:00:00,9392292.088771163 
 01/08  08:00:00,8051565.739758687 
 01/08  09:00:00,5262294.983259106 
 01/08  10:00:00,6760378.538616122 
 01/08  11:00:00,7864485.998535439 
 01/08  12:00:00,6170234.928520244 
 01/08  13:00:00,5366681.415380947 
 01/08  14:00:00,4024004.9744542604 
 01/08  15:00:00,3022464.159636841 
 01/08  16:00:00,1796889.8735724383 
 01/08  17:00:00,3711411.4718112852 
 01/08  18:00:00,6613123.300551759 
 01/08  19:00:00,12934860.481612194 
 01/08  20:00:00,10696599.65033639 
 01/08  21:00:00,8733860.294041824 
 01/08  22:00:00,11500580.643416815 
 01/08  23:00:00,12383518.632096007 
 01/08  24:00:00,9982818.306283452 
 01/09  01:00:00,7191550.744942235 
 01/09  02:00:00,6344838.765742797 
 01/09  03:00:00,5558334.6702869255 
 01/09  04:00:00,5667256.630787004 
 01/09  05:00:00,5657027.010581291 
 01/09  06:00:00,7530416.681130694 
 01/09  07:00:00,11238106.76089276 
 01/09  08:00:00,6952573.059665505 
 01/09  09:00:00,2684768.8630851656 
 01/09  10:00:00,1735614.1397322826 
 01/09  11:00:00,1121650.2741008447 
 01/09  12:00:00,770392.2458349697 
 01/09  13:00:00,720000.0 
 01/09  14:00:00,720000.0 
 01/09  15:00:00,720000.0 
 01/09  16:00:00,720000.0 
 01/09  17:00:00,720000.0 
 01/09  18:00:00,720000.0 
 01/09  19:00:00,2550415.545357292 
 01/09  20:00:00,3387655.4167311685 
 01/09  21:00:00,2478287.519816665 
 01/09  22:00:00,2912394.6329584857 
 01/09  23:00:00,3876380.7748133866 
 01/09  24:00:00,3510434.438572393 
 01/10  01:00:00,2408808.389552626 
 01/10  02:00:00,2876794.4702372076 
 01/10  03:00:00,3087832.528608151 
 01/10  04:00:00,3380949.564740673 
 01/10  05:00:00,3169237.4108353173 
 01/10  06:00:00,3252416.6223820355 
 01/10  07:00:00,4167312.6914593615 
 01/10  08:00:00,3276083.4637587927 
 01/10  09:00:00,1015775.3312071417 
 01/10  10:00:00,360000.0 
 01/10  11:00:00,0.0 
 01/10  12:00:00,360000.0 
 01/10  13:00:00,720000.0 
