Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.04.15 16:33
Tabular Output Report in Format: ,Comma

Building:,US+MF+CZ5B+elecres+crawlspace+IECC_2021
Environment:,ANNUAL ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,3.03,0.84,1.51
,Net Site Energy,3.03,0.84,1.51
,Total Source Energy,9.61,2.65,4.79
,Net Source Energy,9.61,2.65,4.79


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,3623.35
,Net Conditioned Building Area,2007.43
,Unconditioned Building Area,1615.91


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,516,PlantLoop,DHW LOOP_UNIT3_FRONTROW_BOTTOMFLOOR,Plant Loop Volume [m3],5.91666E-002
,517,Pump:VariableSpeed,MAINS PRESSURE_UNIT3_FRONTROW_BOTTOMFLOOR,Design Flow Rate [m3/s],4.93055E-004
,518,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_FRONTROW_BOTTOMFLOOR,Maximum Heater Capacity [W],4500.00000
,519,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_FRONTROW_BOTTOMFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,520,PlantLoop,DHW LOOP_UNIT1_BACKROW_BOTTOMFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,521,PlantLoop,DHW LOOP_UNIT1_BACKROW_BOTTOMFLOOR,Plant Loop Volume [m3],5.91666E-002
,522,Pump:VariableSpeed,MAINS PRESSURE_UNIT1_BACKROW_BOTTOMFLOOR,Design Flow Rate [m3/s],4.93055E-004
,523,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_BACKROW_BOTTOMFLOOR,Maximum Heater Capacity [W],4500.00000
,524,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_BACKROW_BOTTOMFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,525,PlantLoop,DHW LOOP_UNIT2_BACKROW_BOTTOMFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,526,PlantLoop,DHW LOOP_UNIT2_BACKROW_BOTTOMFLOOR,Plant Loop Volume [m3],5.91666E-002
,527,Pump:VariableSpeed,MAINS PRESSURE_UNIT2_BACKROW_BOTTOMFLOOR,Design Flow Rate [m3/s],4.93055E-004
,528,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_BACKROW_BOTTOMFLOOR,Maximum Heater Capacity [W],4500.00000
,529,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_BACKROW_BOTTOMFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,530,PlantLoop,DHW LOOP_UNIT3_BACKROW_BOTTOMFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,531,PlantLoop,DHW LOOP_UNIT3_BACKROW_BOTTOMFLOOR,Plant Loop Volume [m3],5.91666E-002
,532,Pump:VariableSpeed,MAINS PRESSURE_UNIT3_BACKROW_BOTTOMFLOOR,Design Flow Rate [m3/s],4.93055E-004
,533,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_BACKROW_BOTTOMFLOOR,Maximum Heater Capacity [W],4500.00000
,534,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_BACKROW_BOTTOMFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,535,PlantLoop,DHW LOOP_UNIT1_FRONTROW_MIDDLEFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,536,PlantLoop,DHW LOOP_UNIT1_FRONTROW_MIDDLEFLOOR,Plant Loop Volume [m3],5.91666E-002
,537,Pump:VariableSpeed,MAINS PRESSURE_UNIT1_FRONTROW_MIDDLEFLOOR,Design Flow Rate [m3/s],4.93055E-004
,538,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_FRONTROW_MIDDLEFLOOR,Maximum Heater Capacity [W],4500.00000
,539,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_FRONTROW_MIDDLEFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,540,PlantLoop,DHW LOOP_UNIT2_FRONTROW_MIDDLEFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,541,PlantLoop,DHW LOOP_UNIT2_FRONTROW_MIDDLEFLOOR,Plant Loop Volume [m3],5.91666E-002
,542,Pump:VariableSpeed,MAINS PRESSURE_UNIT2_FRONTROW_MIDDLEFLOOR,Design Flow Rate [m3/s],4.93055E-004
,543,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_FRONTROW_MIDDLEFLOOR,Maximum Heater Capacity [W],4500.00000
,544,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_FRONTROW_MIDDLEFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,545,PlantLoop,DHW LOOP_UNIT3_FRONTROW_MIDDLEFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,546,PlantLoop,DHW LOOP_UNIT3_FRONTROW_MIDDLEFLOOR,Plant Loop Volume [m3],5.91666E-002
,547,Pump:VariableSpeed,MAINS PRESSURE_UNIT3_FRONTROW_MIDDLEFLOOR,Design Flow Rate [m3/s],4.93055E-004
,548,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_FRONTROW_MIDDLEFLOOR,Maximum Heater Capacity [W],4500.00000
,549,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_FRONTROW_MIDDLEFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,550,PlantLoop,DHW LOOP_UNIT1_BACKROW_MIDDLEFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,551,PlantLoop,DHW LOOP_UNIT1_BACKROW_MIDDLEFLOOR,Plant Loop Volume [m3],5.91666E-002
,552,Pump:VariableSpeed,MAINS PRESSURE_UNIT1_BACKROW_MIDDLEFLOOR,Design Flow Rate [m3/s],4.93055E-004
,553,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_BACKROW_MIDDLEFLOOR,Maximum Heater Capacity [W],4500.00000
,554,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_BACKROW_MIDDLEFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,555,PlantLoop,DHW LOOP_UNIT2_BACKROW_MIDDLEFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,556,PlantLoop,DHW LOOP_UNIT2_BACKROW_MIDDLEFLOOR,Plant Loop Volume [m3],5.91666E-002
,557,Pump:VariableSpeed,MAINS PRESSURE_UNIT2_BACKROW_MIDDLEFLOOR,Design Flow Rate [m3/s],4.93055E-004
,558,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_BACKROW_MIDDLEFLOOR,Maximum Heater Capacity [W],4500.00000
,559,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_BACKROW_MIDDLEFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,560,PlantLoop,DHW LOOP_UNIT3_BACKROW_MIDDLEFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,561,PlantLoop,DHW LOOP_UNIT3_BACKROW_MIDDLEFLOOR,Plant Loop Volume [m3],5.91666E-002
,562,Pump:VariableSpeed,MAINS PRESSURE_UNIT3_BACKROW_MIDDLEFLOOR,Design Flow Rate [m3/s],4.93055E-004
,563,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_BACKROW_MIDDLEFLOOR,Maximum Heater Capacity [W],4500.00000
,564,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_BACKROW_MIDDLEFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,565,PlantLoop,DHW LOOP_UNIT1_FRONTROW_TOPFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,566,PlantLoop,DHW LOOP_UNIT1_FRONTROW_TOPFLOOR,Plant Loop Volume [m3],5.91666E-002
,567,Pump:VariableSpeed,MAINS PRESSURE_UNIT1_FRONTROW_TOPFLOOR,Design Flow Rate [m3/s],4.93055E-004
,568,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_FRONTROW_TOPFLOOR,Maximum Heater Capacity [W],4500.00000
,569,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_FRONTROW_TOPFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,570,PlantLoop,DHW LOOP_UNIT2_FRONTROW_TOPFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,571,PlantLoop,DHW LOOP_UNIT2_FRONTROW_TOPFLOOR,Plant Loop Volume [m3],5.91666E-002
,572,Pump:VariableSpeed,MAINS PRESSURE_UNIT2_FRONTROW_TOPFLOOR,Design Flow Rate [m3/s],4.93055E-004
,573,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_FRONTROW_TOPFLOOR,Maximum Heater Capacity [W],4500.00000
,574,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_FRONTROW_TOPFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,575,PlantLoop,DHW LOOP_UNIT3_FRONTROW_TOPFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,576,PlantLoop,DHW LOOP_UNIT3_FRONTROW_TOPFLOOR,Plant Loop Volume [m3],5.91666E-002
,577,Pump:VariableSpeed,MAINS PRESSURE_UNIT3_FRONTROW_TOPFLOOR,Design Flow Rate [m3/s],4.93055E-004
,578,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_FRONTROW_TOPFLOOR,Maximum Heater Capacity [W],4500.00000
,579,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_FRONTROW_TOPFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,580,PlantLoop,DHW LOOP_UNIT1_BACKROW_TOPFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,581,PlantLoop,DHW LOOP_UNIT1_BACKROW_TOPFLOOR,Plant Loop Volume [m3],5.91666E-002
,582,Pump:VariableSpeed,MAINS PRESSURE_UNIT1_BACKROW_TOPFLOOR,Design Flow Rate [m3/s],4.93055E-004
,583,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_BACKROW_TOPFLOOR,Maximum Heater Capacity [W],4500.00000
,584,WaterHeater:Stratified,WATER HEATER_TANK_UNIT1_BACKROW_TOPFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,585,PlantLoop,DHW LOOP_UNIT2_BACKROW_TOPFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,586,PlantLoop,DHW LOOP_UNIT2_BACKROW_TOPFLOOR,Plant Loop Volume [m3],5.91666E-002
,587,Pump:VariableSpeed,MAINS PRESSURE_UNIT2_BACKROW_TOPFLOOR,Design Flow Rate [m3/s],4.93055E-004
,588,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_BACKROW_TOPFLOOR,Maximum Heater Capacity [W],4500.00000
,589,WaterHeater:Stratified,WATER HEATER_TANK_UNIT2_BACKROW_TOPFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004
,590,PlantLoop,DHW LOOP_UNIT3_BACKROW_TOPFLOOR,Maximum Loop Flow Rate [m3/s],4.93055E-004
,591,PlantLoop,DHW LOOP_UNIT3_BACKROW_TOPFLOOR,Plant Loop Volume [m3],5.91666E-002
,592,Pump:VariableSpeed,MAINS PRESSURE_UNIT3_BACKROW_TOPFLOOR,Design Flow Rate [m3/s],4.93055E-004
,593,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_BACKROW_TOPFLOOR,Maximum Heater Capacity [W],4500.00000
,594,WaterHeater:Stratified,WATER HEATER_TANK_UNIT3_BACKROW_TOPFLOOR,Use Side Design Flow Rate [m3/s],4.93055E-004


DX Cooling Coil Standard Rating Information

,,Component Type,Component Name,Standard Rating (Net) Cooling Capacity {W},Standard Rated Net COP {W/W},EER {Btu/W-h},SEER User {Btu/W-h},SEER Standard {Btu/W-h},IEER {Btu/W-h}
,1,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,3734.8,3.19,10.89,11.54,11.09,11.07
,2,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,1621.9,3.19,10.89,11.54,11.09,11.07
,3,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,2692.2,3.19,10.89,11.54,11.09,11.07
,4,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,3625.4,3.19,10.89,11.54,11.09,11.07
,5,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,1616.9,3.19,10.89,11.54,11.09,11.07
,6,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,2599.7,3.19,10.89,11.54,11.09,11.07
,7,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,3682.1,3.19,10.89,11.54,11.09,11.07
,8,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,1630.5,3.19,10.89,11.54,11.09,11.07
,9,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,2755.0,3.19,10.89,11.54,11.09,11.07
,10,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,3573.2,3.19,10.89,11.54,11.09,11.07
,11,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,1608.6,3.19,10.89,11.54,11.09,11.07
,12,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,2643.8,3.19,10.89,11.54,11.09,11.07
,13,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,3828.2,3.19,10.89,11.54,11.09,11.07
,14,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,1819.4,3.19,10.89,11.54,11.09,11.07
,15,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,2750.6,3.19,10.89,11.54,11.09,11.07
,16,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,3814.0,3.19,10.89,11.54,11.09,11.07
,17,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,1870.9,3.19,10.89,11.54,11.09,11.07
,18,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,2645.4,3.19,10.89,11.54,11.09,11.07


Environment

,,Environment Name,Environment Type,Start Date,End Date,Start DayOfWeek,Duration {#days},Source:Start DayOfWeek,Use Daylight Saving,Use Holidays,Apply Weekend Holiday Rule,Use Rain Values,Use Snow Values,Sky Temperature Model
,1,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,SizingPeriod:DesignDay,12/21,12/21,WinterDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
,2,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,SizingPeriod:DesignDay,07/21,07/21,SummerDesignDay,1,N/A,N/A,N/A,N/A,N/A,N/A,Clark and Allen
,3,ANNUAL,WeatherFileRunPeriod,01/01/2017,01/01/2017,Sunday,1,Use RunPeriod Specified Day,Yes,Yes,No,Yes,Yes,Clark and Allen


Environment:Daylight Saving

,,Daylight Saving Indicator,Source,Start Date,End Date
,1,No,SizingPeriod:DesignDay,,
,2,No,SizingPeriod:DesignDay,,
,3,No,,,


Environment:WarmupDays

,,NumberofWarmupDays
,1,7
,2,7
,3,25


Environment:Design Day Data

,,Max Dry-Bulb Temp {C},Temp Range {dC},Temp Range Ind Type,Hum Ind Type,Hum Ind Value at Max Temp,Hum Ind Units,Pressure {Pa},Wind Direction {deg CW from N},Wind Speed {m/s},Clearness,Rain,Snow
,1,-17.90,0.00,DefaultMultipliers,Wetbulb,-17.90,{C},82237,180,2.5,0.00,No,No
,2,33.90,14.80,DefaultMultipliers,Wetbulb,15.00,{C},82237,30,3.6,0.00,No,No


Environment:Design Day Misc

,,DayOfYear,ASHRAE A Coeff,ASHRAE B Coeff,ASHRAE C Coeff,Solar Constant-Annual Variation,Eq of Time {minutes},Solar Declination Angle {deg},Solar Model
,1,355,1232.8,0.1424,5.7719E-002,1.0,2.45,-23.5,ASHRAEClearSky
,2,202,1084.4,0.2082,0.1365,1.0,-6.23,20.6,ASHRAETau


Tabular Report

,,Style,Unit Conversion
,1,Commaandhtml,commaandhtml


Warmup Convergence Information

,,Zone Name,Environment Type/Name,Average Warmup Temperature Difference {deltaC},Std Dev Warmup Temperature Difference {deltaC},Max Temperature Pass/Fail Convergence,Min Temperature Pass/Fail Convergence,Average Warmup Load Difference {W},Std Dev Warmup Load Difference {W},Heating Load Pass/Fail Convergence,Cooling Load Pass/Fail Convergence
,1,CRAWLSPACE,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,1.2307232514E-004,9.1308339674E-005,Pass,Pass,0.0000000000,0.0000000000,Pass,Pass
,2,BREEZEWAY,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.8895676110E-004,1.7373804461E-004,Pass,Pass,0.0000000000,0.0000000000,Pass,Pass
,3,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,4.2554335053E-002,9.0083132696E-002,Pass,Pass,1.7997263929E-002,4.8252223808E-002,Pass,Pass
,4,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,6.3891372721E-002,0.1276076134,Pass,Pass,3.6271300842E-002,0.1154709810,Pass,Pass
,5,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.3238484055E-002,0.1061641421,Pass,Pass,2.1868702907E-002,6.2409287526E-002,Pass,Pass
,6,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,4.3574938549E-002,9.1531010894E-002,Pass,Pass,1.8466817054E-002,4.9577361274E-002,Pass,Pass
,7,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,6.3977922158E-002,0.1276936152,Pass,Pass,3.6153506073E-002,0.1153883195,Pass,Pass
,8,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.4334946417E-002,0.1080168729,Pass,Pass,2.1918149264E-002,6.4472553041E-002,Pass,Pass
,9,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,4.5789359311E-002,9.5718347063E-002,Pass,Pass,2.7243644618E-002,7.2450750650E-002,Pass,Pass
,10,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,7.4056256709E-002,0.1426368967,Pass,Pass,8.5915055791E-002,0.2987491365,Pass,Pass
,11,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.7290344907E-002,0.1124839518,Pass,Pass,3.1540508691E-002,9.0261611540E-002,Pass,Pass
,12,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,4.6805257050E-002,9.7361897945E-002,Pass,Pass,2.7346723601E-002,7.3833061166E-002,Pass,Pass
,13,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,7.4287247800E-002,0.1430039345,Pass,Pass,8.6174464086E-002,0.3008799843,Pass,Pass
,14,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.8679693684E-002,0.1150165471,Pass,Pass,3.1888049465E-002,9.4055611138E-002,Pass,Pass
,15,ATTIC,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,4.1145048736E-005,2.6231603124E-005,Pass,Pass,0.0000000000,0.0000000000,Pass,Pass
,16,LIVING_UNIT3_BACKROW_TOPFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.0861949005E-002,0.1048062296,Pass,Pass,2.1428046552E-002,6.3370152107E-002,Pass,Pass
,17,LIVING_UNIT3_FRONTROW_TOPFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.0110273230E-002,0.1031820344,Pass,Pass,2.1248858033E-002,6.2222991177E-002,Pass,Pass
,18,LIVING_UNIT1_FRONTROW_TOPFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,3.9503341458E-002,8.6349898718E-002,Pass,Pass,1.7415791425E-002,4.6523683439E-002,Pass,Pass
,19,LIVING_UNIT2_BACKROW_TOPFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.9001545425E-002,0.1208115947,Pass,Pass,3.4172583055E-002,0.1087567777,Pass,Pass
,20,LIVING_UNIT2_FRONTROW_TOPFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,5.9287503163E-002,0.1213410123,Pass,Pass,3.4348877123E-002,0.1095527698,Pass,Pass
,21,LIVING_UNIT1_BACKROW_TOPFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,3.9656857284E-002,8.6573345506E-002,Pass,Pass,1.7463599752E-002,4.6718957848E-002,Pass,Pass
,22,CRAWLSPACE,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,0.1437258299,8.2728992813E-002,Pass,Pass,0.0000000000,0.0000000000,Pass,Pass
,23,BREEZEWAY,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,3.7047932602E-002,2.0647221897E-002,Pass,Pass,0.0000000000,0.0000000000,Pass,Pass
,24,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,1.2469133948E-002,7.0263767487E-002,Pass,Pass,4.0779749472E-002,6.5153059151E-002,Pass,Pass
,25,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,1.4382792457E-002,7.8109673164E-002,Pass,Pass,3.7262330935E-002,0.1196144868,Pass,Pass
,26,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,4.0764992428E-005,3.1220020605E-004,Pass,Pass,2.6769608939E-002,2.8094683942E-002,Pass,Pass
,27,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,1.1527107720E-002,6.6151541886E-002,Pass,Pass,4.3778435618E-002,8.1698054023E-002,Pass,Pass
,28,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,SizingPeriod: DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,1.7387275951E-002,7.5681345758E-002,Pass,Pass,3.8613418097E-002,9.7632368022E-002,Pass,Pass
